id,format,type,num1,operator,num2,answer,digits,has_carry,RAND’l,RAND(),RAND’l
1,h,add,6,+,7,13,1-1,1,0.054920303,0.148149682,
2,h,add,8,+,6,14,1-1,1,0.069239923,0.299750532,
3,h,add,8,+,8,16,1-1,1,0.080731319,0.949362842,
4,h,add,9,+,7,16,1-1,1,0.15433151,0.117450443,
5,h,add,7,+,6,13,1-1,1,0.188053728,0.09504323,
6,h,add,3,+,8,11,1-1,1,0.20233356,0.191035037,
7,h,add,5,+,9,14,1-1,1,0.225113923,0.013168818,
8,h,add,9,+,9,18,1-1,1,0.235794747,0.94948106,
9,h,add,8,+,4,12,1-1,1,0.284798846,0.146213871,
10,h,add,6,+,5,11,1-1,1,0.347094792,0.405792068,
11,h,add,7,+,9,16,1-1,1,0.357409954,0.720868811,
12,h,add,6,+,6,12,1-1,1,0.363090091,0.012979333,
13,h,add,5,+,6,11,1-1,1,0.38689819,0.589782121,
14,h,add,4,+,8,12,1-1,1,0.40264594,0.3450482,
15,h,add,3,+,9,12,1-1,1,0.418860781,0.884541933,
16,h,add,5,+,8,13,1-1,1,0.442792179,0.969207264,
17,h,add,4,+,9,13,1-1,1,0.494864123,0.678934696,
18,h,add,6,+,9,15,1-1,1,0.520589961,0.193940396,
19,h,add,9,+,3,12,1-1,1,0.521759061,0.231799945,
20,h,add,7,+,4,11,1-1,1,0.539594231,0.125837737,
21,h,add,8,+,9,17,1-1,1,0.549012782,0.186747466,
22,h,add,7,+,7,14,1-1,1,0.549691125,0.667616166,
23,h,add,9,+,8,17,1-1,1,0.559330325,0.533466151,
24,h,add,7,+,5,12,1-1,1,0.564911261,0.842346989,
25,h,add,9,+,2,11,1-1,1,0.569326151,0.805508185,
26,h,add,2,+,9,11,1-1,1,0.571839876,0.133869959,
27,h,add,5,+,7,12,1-1,1,0.72823481,0.163352831,
28,h,add,8,+,7,15,1-1,1,0.738256672,0.291615992,
29,h,add,9,+,5,14,1-1,1,0.748136885,0.802437982,
30,h,add,6,+,8,14,1-1,1,0.782652755,0.892638603,
31,h,add,9,+,4,13,1-1,1,0.852954081,0.434825473,
32,h,add,8,+,5,13,1-1,1,0.897998383,0.906825228,
33,h,add,9,+,6,15,1-1,1,0.909246176,0.084421824,
34,h,add,8,+,3,11,1-1,1,0.921292734,0.912243542,
35,h,add,7,+,8,15,1-1,1,0.959738547,0.392494859,
36,h,add,4,+,7,11,1-1,1,0.993389689,0.480008215,
