id,format,type,num1,operator,num2,answer,digits,has_carry,元id,RAND(),RAND値,RAND値,answer-f,answer
1,h,multiply,10,×,2,20,1-1,0,1,0.019315903,0.019315903,,20,
2,h,multiply,100,×,5,500,1-1,0,15,0.065020207,0.065020207,,500,
3,h,multiply,30,×,200,6000,1-1,0,35,0.08192105,0.08192105,,6000,
4,h,multiply,200,×,4,800,1-1,0,18,0.090723211,0.090723211,,800,
5,h,multiply,200,×,20,4000,1-1,0,28,0.103793056,0.103793056,,4000,
6,h,multiply,100,×,30,3000,1-1,0,26,0.180880715,0.180880715,,3000,
7,h,multiply,100,×,2,200,1-1,0,13,0.183903651,0.183903651,,200,
8,h,multiply,200,×,3,600,1-1,0,17,0.292390895,0.292390895,,600,
9,h,multiply,50,×,100,5000,1-1,0,33,0.29585279,0.29585279,,5000,
10,h,multiply,200,×,30,6000,1-1,0,29,0.297758434,0.297758434,,6000,
11,h,multiply,20,×,3,60,1-1,0,5,0.305410926,0.305410926,,60,
12,h,multiply,3,×,200,600,1-1,0,23,0.313966499,0.313966499,,600,
13,h,multiply,10,×,5,50,1-1,0,3,0.314888219,0.314888219,,50,
14,h,multiply,40,×,200,8000,1-1,0,36,0.3183706,0.3183706,,8000,
15,h,multiply,200,×,40,8000,1-1,0,30,0.324553282,0.324553282,,8000,
16,h,multiply,4,×,20,80,1-1,0,12,0.348747812,0.348747812,,80,
17,h,multiply,3,×,10,30,1-1,0,8,0.375572358,0.375572358,,30,
18,h,multiply,200,×,2,400,1-1,0,16,0.443265674,0.443265674,,400,
19,h,multiply,3,×,100,300,1-1,0,20,0.47150965,0.47150965,,300,
20,h,multiply,100,×,50,5000,1-1,0,27,0.494586891,0.494586891,,5000,
21,h,multiply,3,×,20,60,1-1,0,11,0.505690827,0.505690827,,60,
22,h,multiply,100,×,20,2000,1-1,0,25,0.524616041,0.524616041,,2000,
23,h,multiply,5,×,100,500,1-1,0,21,0.605460267,0.605460267,,500,
24,h,multiply,4,×,200,800,1-1,0,24,0.661165691,0.661165691,,800,
25,h,multiply,100,×,3,300,1-1,0,14,0.700726909,0.700726909,,300,
26,h,multiply,2,×,200,400,1-1,0,22,0.702960626,0.702960626,,400,
27,h,multiply,30,×,100,3000,1-1,0,32,0.704856731,0.704856731,,3000,
28,h,multiply,2,×,20,40,1-1,0,10,0.762974992,0.762974992,,40,
29,h,multiply,20,×,4,80,1-1,0,6,0.769895766,0.769895766,,80,
30,h,multiply,2,×,10,20,1-1,0,7,0.774871341,0.774871341,,20,
31,h,multiply,20,×,2,40,1-1,0,4,0.815149518,0.815149518,,40,
32,h,multiply,10,×,3,30,1-1,0,2,0.830999117,0.830999117,,30,
33,h,multiply,20,×,100,2000,1-1,0,31,0.890131197,0.890131197,,2000,
34,h,multiply,5,×,10,50,1-1,0,9,0.897418861,0.897418861,,50,
35,h,multiply,20,×,200,4000,1-1,0,34,0.968606315,0.968606315,,4000,
36,h,multiply,2,×,100,200,1-1,0,19,0.98892655,0.98892655,,200,
