id,format,type,num1,operator,num2,answer,digits,has_carry,RAND値,RAND(),RAND値,answer-f,answer
1,h,multiply,2,×,1,2,1-1,0,0.002564565,0.641400666,,2,
2,h,multiply,2,×,2,4,1-1,0,0.002564565,0.066628437,,4,
3,h,multiply,2,×,3,6,1-1,0,0.002564565,0.905327243,,6,
4,h,multiply,2,×,4,8,1-1,0,0.002564565,0.097163859,,8,
5,h,multiply,2,×,5,10,1-1,0,0.002564565,0.785070765,,10,
6,h,multiply,2,×,6,12,1-1,0,0.002564565,0.720218037,,12,
7,h,multiply,2,×,7,14,1-1,0,0.002564565,0.364405145,,14,
8,h,multiply,2,×,8,16,1-1,0,0.002564565,0.215234979,,16,
9,h,multiply,2,×,9,18,1-1,0,0.002564565,0.729148113,,18,
10,h,multiply,3,×,1,3,1-1,0,0.002564565,0.214764761,,3,
11,h,multiply,3,×,2,6,1-1,0,0.002564565,0.92939619,,6,
12,h,multiply,3,×,3,9,1-1,0,0.002564565,0.249350593,,9,
13,h,multiply,3,×,4,12,1-1,0,0.002564565,0.671758449,,12,
14,h,multiply,3,×,5,15,1-1,0,0.002564565,0.286771085,,15,
15,h,multiply,3,×,6,18,1-1,0,0.002564565,0.079803036,,18,
16,h,multiply,3,×,7,21,1-1,0,0.002564565,0.09125812,,21,
17,h,multiply,3,×,8,24,1-1,0,0.002564565,0.093875599,,24,
18,h,multiply,3,×,9,27,1-1,0,0.002564565,0.736449735,,27,
19,h,multiply,4,×,1,4,1-1,0,0.002564565,0.376864236,,4,
20,h,multiply,4,×,2,8,1-1,0,0.002564565,0.421444059,,8,
21,h,multiply,4,×,3,12,1-1,0,0.002564565,0.438252394,,12,
22,h,multiply,4,×,4,16,1-1,0,0.002564565,0.918963583,,16,
23,h,multiply,4,×,5,20,1-1,0,0.002564565,0.722089074,,20,
24,h,multiply,4,×,6,24,1-1,0,0.002564565,0.969778282,,24,
25,h,multiply,4,×,7,28,1-1,0,0.002564565,0.227447354,,28,
26,h,multiply,4,×,8,32,1-1,0,0.002564565,0.573910802,,32,
27,h,multiply,4,×,9,36,1-1,0,0.002564565,0.164146005,,36,
28,h,multiply,5,×,1,5,1-1,0,0.002564565,0.650186535,,5,
29,h,multiply,5,×,2,10,1-1,0,0.002564565,0.452035956,,10,
30,h,multiply,5,×,3,15,1-1,0,0.002564565,0.673843902,,15,
31,h,multiply,5,×,4,20,1-1,0,0.002564565,0.819597878,,20,
32,h,multiply,5,×,5,25,1-1,0,0.002564565,0.225093004,,25,
33,h,multiply,5,×,6,30,1-1,0,0.002564565,0.877013317,,30,
34,h,multiply,5,×,7,35,1-1,0,0.002564565,0.640646358,,35,
35,h,multiply,5,×,8,40,1-1,0,0.002564565,0.321939521,,40,
36,h,multiply,5,×,9,45,1-1,0,0.002564565,0.099967954,,45,
37,h,multiply,6,×,1,6,1-1,0,0.002564565,0.780252511,,6,
38,h,multiply,6,×,2,12,1-1,0,0.002564565,0.51445935,,12,
39,h,multiply,6,×,3,18,1-1,0,0.002564565,0.41997402,,18,
40,h,multiply,6,×,4,24,1-1,0,0.002564565,0.295210047,,24,
41,h,multiply,6,×,5,30,1-1,0,0.002564565,0.337054346,,30,
42,h,multiply,6,×,6,36,1-1,0,0.002564565,0.598281141,,36,
43,h,multiply,6,×,7,42,1-1,0,0.002564565,0.530473175,,42,
44,h,multiply,6,×,8,48,1-1,0,0.002564565,0.235059653,,48,
45,h,multiply,6,×,9,54,1-1,0,0.002564565,0.528829773,,54,
46,h,multiply,7,×,1,7,1-1,0,0.002564565,0.601761691,,7,
47,h,multiply,7,×,2,14,1-1,0,0.002564565,0.820496326,,14,
48,h,multiply,7,×,3,21,1-1,0,0.002564565,0.35164482,,21,
49,h,multiply,7,×,4,28,1-1,0,0.002564565,0.572447374,,28,
50,h,multiply,7,×,5,35,1-1,0,0.002564565,0.275143763,,35,
51,h,multiply,7,×,6,42,1-1,0,0.002564565,0.252296958,,42,
52,h,multiply,7,×,7,49,1-1,0,0.002564565,0.692380161,,49,
53,h,multiply,7,×,8,56,1-1,0,0.002564565,0.443054947,,56,
54,h,multiply,7,×,9,63,1-1,0,0.002564565,0.428957148,,63,
55,h,multiply,8,×,1,8,1-1,0,0.002564565,0.816570225,,8,
56,h,multiply,8,×,2,16,1-1,0,0.002564565,0.512912208,,16,
57,h,multiply,8,×,3,24,1-1,0,0.002564565,0.257533858,,24,
58,h,multiply,8,×,4,32,1-1,0,0.002564565,0.56517995,,32,
59,h,multiply,8,×,5,40,1-1,0,0.002564565,0.430615427,,40,
60,h,multiply,8,×,6,48,1-1,0,0.002564565,0.081152381,,48,
61,h,multiply,8,×,7,56,1-1,0,0.002564565,0.195755855,,56,
62,h,multiply,8,×,8,64,1-1,0,0.002564565,0.898096264,,64,
63,h,multiply,8,×,9,72,1-1,0,0.002564565,0.166930623,,72,
64,h,multiply,9,×,1,9,1-1,0,0.002564565,0.061209826,,9,
65,h,multiply,9,×,2,18,1-1,0,0.002564565,0.669831729,,18,
66,h,multiply,9,×,3,27,1-1,0,0.002564565,0.266414069,,27,
67,h,multiply,9,×,4,36,1-1,0,0.002564565,0.740850289,,36,
68,h,multiply,9,×,5,45,1-1,0,0.002564565,0.259046636,,45,
69,h,multiply,9,×,6,54,1-1,0,0.002564565,0.615095778,,54,
70,h,multiply,9,×,7,63,1-1,0,0.002564565,0.841874712,,63,
71,h,multiply,9,×,8,72,1-1,0,0.002564565,0.881022207,,72,
72,h,multiply,9,×,9,81,1-1,0,0.002564565,0.036788514,,81,
