id,format,type,num1,operator,num2,answer,digits,has_carry,RAND値,RAND(),RAND値,answer-f,answer
28,h,multiply,5,×,1,5,1-1,0,0.005206881,0.978987355,,5,
22,h,multiply,4,×,4,16,1-1,0,0.008245928,0.052339075,,16,
70,h,multiply,9,×,7,63,1-1,0,0.02150473,0.980400458,,63,
20,h,multiply,4,×,2,8,1-1,0,0.021506686,0.656993591,,8,
5,h,multiply,2,×,5,10,1-1,0,0.034281188,0.967554574,,10,
63,h,multiply,8,×,9,72,1-1,0,0.049495494,0.922253012,,72,
69,h,multiply,9,×,6,54,1-1,0,0.065230403,0.422459165,,54,
55,h,multiply,8,×,1,8,1-1,0,0.069948403,0.730599182,,8,
42,h,multiply,6,×,6,36,1-1,0,0.078949862,0.372840575,,36,
26,h,multiply,4,×,8,32,1-1,0,0.094094878,0.941428766,,32,
21,h,multiply,4,×,3,12,1-1,0,0.120475818,0.017291148,,12,
66,h,multiply,9,×,3,27,1-1,0,0.130915626,0.558037384,,27,
47,h,multiply,7,×,2,14,1-1,0,0.132406757,0.078720377,,14,
60,h,multiply,8,×,6,48,1-1,0,0.132987253,0.540158894,,48,
57,h,multiply,8,×,3,24,1-1,0,0.148323868,0.680622387,,24,
17,h,multiply,3,×,8,24,1-1,0,0.154847219,0.690589215,,24,
51,h,multiply,7,×,6,42,1-1,0,0.155210206,0.121050778,,42,
52,h,multiply,7,×,7,49,1-1,0,0.167273127,0.336342103,,49,
50,h,multiply,7,×,5,35,1-1,0,0.190618575,0.45305229,,35,
2,h,multiply,2,×,2,4,1-1,0,0.194727946,0.493528278,,4,
56,h,multiply,8,×,2,16,1-1,0,0.204228913,0.627380415,,16,
6,h,multiply,2,×,6,12,1-1,0,0.206134026,0.20261671,,12,
33,h,multiply,5,×,6,30,1-1,0,0.220926005,0.502635978,,30,
72,h,multiply,9,×,9,81,1-1,0,0.275599852,0.454819659,,81,
4,h,multiply,2,×,4,8,1-1,0,0.289953314,0.845378644,,8,
45,h,multiply,6,×,9,54,1-1,0,0.312807192,0.177096358,,54,
53,h,multiply,7,×,8,56,1-1,0,0.322717188,0.903164552,,56,
32,h,multiply,5,×,5,25,1-1,0,0.356526675,0.685243724,,25,
71,h,multiply,9,×,8,72,1-1,0,0.362989388,0.705152371,,72,
1,h,multiply,2,×,1,2,1-1,0,0.384253081,0.806568205,,2,
14,h,multiply,3,×,5,15,1-1,0,0.407862246,0.544697541,,15,
65,h,multiply,9,×,2,18,1-1,0,0.417634907,0.264659808,,18,
8,h,multiply,2,×,8,16,1-1,0,0.444678253,0.005084929,,16,
7,h,multiply,2,×,7,14,1-1,0,0.454714992,0.250568835,,14,
23,h,multiply,4,×,5,20,1-1,0,0.460745827,0.249917927,,20,
36,h,multiply,5,×,9,45,1-1,0,0.491797677,0.443417876,,45,
34,h,multiply,5,×,7,35,1-1,0,0.514599871,0.979350324,,35,
46,h,multiply,7,×,1,7,1-1,0,0.543993094,0.840085798,,7,
30,h,multiply,5,×,3,15,1-1,0,0.548122053,0.571867473,,15,
3,h,multiply,2,×,3,6,1-1,0,0.556793986,0.159135377,,6,
44,h,multiply,6,×,8,48,1-1,0,0.593710235,0.791572792,,48,
35,h,multiply,5,×,8,40,1-1,0,0.599185937,0.754366532,,40,
39,h,multiply,6,×,3,18,1-1,0,0.599344438,0.611601763,,18,
19,h,multiply,4,×,1,4,1-1,0,0.612621509,0.152018107,,4,
49,h,multiply,7,×,4,28,1-1,0,0.629485796,0.5512528,,28,
24,h,multiply,4,×,6,24,1-1,0,0.644931032,0.518281258,,24,
38,h,multiply,6,×,2,12,1-1,0,0.652980036,0.795986368,,12,
41,h,multiply,6,×,5,30,1-1,0,0.664039554,0.121202008,,30,
12,h,multiply,3,×,3,9,1-1,0,0.672677746,0.8612834,,9,
68,h,multiply,9,×,5,45,1-1,0,0.684966057,0.595320678,,45,
58,h,multiply,8,×,4,32,1-1,0,0.687893268,0.086518952,,32,
9,h,multiply,2,×,9,18,1-1,0,0.725016762,0.975296737,,18,
13,h,multiply,3,×,4,12,1-1,0,0.734737976,0.954206314,,12,
54,h,multiply,7,×,9,63,1-1,0,0.744034366,0.873108256,,63,
59,h,multiply,8,×,5,40,1-1,0,0.749691707,0.085012247,,40,
62,h,multiply,8,×,8,64,1-1,0,0.765589497,0.762086622,,64,
61,h,multiply,8,×,7,56,1-1,0,0.77148303,0.676128082,,56,
64,h,multiply,9,×,1,9,1-1,0,0.801438818,0.968410905,,9,
67,h,multiply,9,×,4,36,1-1,0,0.802133549,0.619343792,,36,
25,h,multiply,4,×,7,28,1-1,0,0.808806692,0.693451536,,28,
40,h,multiply,6,×,4,24,1-1,0,0.824396939,0.948223161,,24,
29,h,multiply,5,×,2,10,1-1,0,0.831401599,0.840611818,,10,
37,h,multiply,6,×,1,6,1-1,0,0.850811356,0.088200054,,6,
11,h,multiply,3,×,2,6,1-1,0,0.857954494,0.215145058,,6,
10,h,multiply,3,×,1,3,1-1,0,0.861876283,0.670458865,,3,
15,h,multiply,3,×,6,18,1-1,0,0.86982948,0.841784502,,18,
18,h,multiply,3,×,9,27,1-1,0,0.887030682,0.403820558,,27,
27,h,multiply,4,×,9,36,1-1,0,0.928465006,0.042182437,,36,
16,h,multiply,3,×,7,21,1-1,0,0.963335039,0.484644362,,21,
48,h,multiply,7,×,3,21,1-1,0,0.967373985,0.788490297,,21,
31,h,multiply,5,×,4,20,1-1,0,0.968268221,0.195134593,,20,
43,h,multiply,6,×,7,42,1-1,0,0.972424483,0.238794834,,42,
