id,format,type,num1,operator,num2,answer,digits,has_carry,元id,RAND値,RAND(),RAND値,answer-f,answer
1,h,multiply,2,×,0.1,0.2,1-1,0,10,0.016173529,0.624150255,,0.2,
2,h,multiply,0.2,×,10,2,1-1,0,8,0.030410753,0.98399496,,2,
3,h,multiply,300,×,0.1,30,1-1,0,23,0.058098691,0.282425403,,30,
4,h,multiply,0.1,×,3,0.3,1-1,0,2,0.072335928,0.805748755,,0.3,
5,h,multiply,0.5,×,10,5,1-1,0,9,0.141268563,0.275111114,,5,
6,h,multiply,30,×,0.01,0.3,1-1,0,29,0.2336,0.727909604,,0.3,
7,h,multiply,30,×,0.1,3,1-1,0,20,0.234162529,0.311386205,,3,
8,h,multiply,300,×,0.2,60,1-1,0,24,0.32271923,0.166349243,,60,
9,h,multiply,10,×,0.5,5,1-1,0,18,0.327979378,0.185469349,,5,
10,h,multiply,2,×,0.2,0.4,1-1,0,13,0.331994694,0.337395036,,0.4,
11,h,multiply,2,×,0.01,0.02,1-1,0,25,0.368553149,0.767899124,,0.02,
12,h,multiply,0.2,×,3,0.6,1-1,0,5,0.372205096,0.581211004,,0.6,
13,h,multiply,5,×,0.01,0.05,1-1,0,27,0.373742015,0.209610271,,0.05,
14,h,multiply,0.1,×,5,0.5,1-1,0,3,0.396620098,0.172728709,,0.5,
15,h,multiply,0.2,×,4,0.8,1-1,0,6,0.403482012,0.805456239,,0.8,
16,h,multiply,10,×,0.1,1,1-1,0,16,0.564928554,0.551762459,,1,
17,h,multiply,0.2,×,2,0.4,1-1,0,4,0.571762472,0.304877467,,0.4,
18,h,multiply,3,×,0.01,0.03,1-1,0,26,0.600165802,0.279592379,,0.03,
19,h,multiply,4,×,0.2,0.8,1-1,0,15,0.641475739,0.403079501,,0.8,
20,h,multiply,3,×,0.2,0.6,1-1,0,14,0.666597036,0.836720961,,0.6,
21,h,multiply,0.1,×,2,0.2,1-1,0,1,0.767868503,0.518812326,,0.2,
22,h,multiply,3,×,0.1,0.3,1-1,0,11,0.777806445,0.093363513,,0.3,
23,h,multiply,30,×,0.2,6,1-1,0,21,0.780848194,0.236264314,,6,
24,h,multiply,10,×,0.2,2,1-1,0,17,0.802882298,0.849413266,,2,
25,h,multiply,20,×,0.01,0.2,1-1,0,28,0.808339335,0.986152621,,0.2,
26,h,multiply,30,×,0.02,0.6,1-1,0,30,0.836403266,0.163024221,,0.6,
27,h,multiply,20,×,0.1,2,1-1,0,19,0.885356095,0.292802027,,2,
28,h,multiply,0.1,×,10,1,1-1,0,7,0.94493034,0.873244034,,1,
29,h,multiply,200,×,0.1,20,1-1,0,22,0.949668073,0.491743844,,20,
30,h,multiply,5,×,0.1,0.5,1-1,0,12,0.956134529,0.987285765,,0.5,
